Location,Lat,Lot
"New York, NY",40.7127281,-74.0060152
"Jersey City, NJ",40.7215682,-74.047455
"Brooklyn, NY",40.6526006,-73.9497211
"Weehawken, NJ",40.7695457,-74.0204177
"Long Island City, NY",40.7415095,-73.9569751
"Florham Park, NJ",40.787878,-74.3882072
"Manhasset, NY",40.7978787,-73.6995749
"Newark, NJ",40.735657,-74.1723667
"Queens Village, NY",40.7267692,-73.7415208
"Haworth, NJ",40.9609315,-73.9901383
"Fort Lee, NJ",40.8509333,-73.9701382
"Bronx, NY",40.8466508,-73.8785937
"Little Ferry, NJ",40.8528777,-74.0420848
"Lake Success, NY",40.7706572,-73.7176312
"Summit, NJ",40.7182356,-74.3592296
"Berkeley Heights, NJ",40.6834349,-74.442653
"Essex Fells, NJ",40.8245442,-74.2845925
"South Plainfield, NJ",40.5792701,-74.4115401
"Franklin Lakes, NJ",41.0167639,-74.2057012
"Mount Vernon, NY",40.9125815,-73.8370786
"Secaucus, NJ",40.7899291,-74.0566735
"Woodbridge, NJ",40.55418,-74.28600076944446
"Parsippany, NJ",40.8578772,-74.4259866
"Whippany, NJ",40.8245442,-74.4170972
"Hoboken, NJ",40.7433066,-74.0323752
"West Orange, NJ",40.7987113,-74.2390353
"Staten Island, NY",40.5834557,-74.1496048
"Harrison, NY",41.0195135,-73.71116374834502
"Iselin, NJ",40.569334999999995,-74.31511249016258
"Montvale, NJ",41.0467635,-74.0229173
"Woodcliff Lake, NJ",41.0234304,-74.0665297
"West Jordan, UT",40.6096698,-111.9391031
"Salt Lake City, UT",40.7596198,-111.8867975
"Lehi, UT",40.3880902,-111.8491619
"Draper, UT",40.5246711,-111.8638226
"American Fork, UT",40.3768954,-111.7957645
"Riverton, UT",40.5220027,-111.9391003
"Reedley, CA",36.5963395,-119.4504029
"Visalia, CA",36.3302284,-119.2920585
"Hanford, CA",36.3274502,-119.6456844
"Hampton, VA",37.0300969,-76.3452057
"Norfolk, VA",36.8462923,-76.2929252
"Portsmouth, VA",43.0702223,-70.7548621
"Chesapeake, VA",36.7183708,-76.2466798
"Smithfield, VA",35.5085531,-78.33936
"Suffolk, VA",36.7282096,-76.5835703
"Newport News, VA",36.9775016,-76.42977
"Virginia Beach, VA",36.8529841,-75.9774183
"Yorktown, VA",37.235665499999996,-76.51364950821196
"Fort Eustis, VA",37.1259192,-76.60135221545953
"Gainesville, FL",29.6519684,-82.3249846
"Alachua, FL",29.675568,-82.3640109
"El Segundo, CA",33.917028,-118.4156337
"Santa Monica, CA",34.0194704,-118.4912273
"Los Angeles, CA",34.0536909,-118.242766
"Burbank, CA",34.1816482,-118.3258554
"Culver City, CA",34.0211224,-118.396466
"Glendale, CA",34.1469416,-118.2478471
"Inglewood, CA",33.9562003,-118.353132
"Venice, CA",33.988334949999995,-118.46152716615018
"Pasadena, CA",34.1476452,-118.1444779
"Cerritos, CA",33.8644291,-118.0539323
"Irwindale, CA",34.1069927,-117.9342148
"Anaheim, CA",33.8340292,-117.93348585416624
"Beverly Hills, CA",34.0696501,-118.3963062
"Northridge, CA",34.2345615,-118.5369316
"Long Beach, CA",33.7690164,-118.191604
"Brea, CA",33.9170444,-117.888855
"Woodland Hills, CA",34.1684364,-118.6058382
"Marina del Rey, CA",33.9776848,-118.4486479
"Torrance, CA",33.8358492,-118.3406288
"Alhambra, CA",34.093042,-118.12706
"Azusa, CA",34.1338751,-117.9056046
"City of Industry, CA",34.01132905,-117.94440101833544
"Arcadia, CA",34.1362075,-118.0401497
"Gardena, CA",33.8963593,-118.3053037
"Pico Rivera, CA",33.9830688,-118.096735
"Whittier, CA",33.9708782,-118.0308396
"Chicago, IL",41.8755616,-87.6244212
"Downers Grove, IL",41.7936822,-88.0102281
"Broadview, IL",41.8639201,-87.8533931
"Woodridge, IL",41.7563344,-88.045559
"Rolling Meadows, IL",42.0841936,-88.0131275
"Deerfield, IL",42.1711365,-87.8445119
"Northlake, IL",41.9172526,-87.8956185
"Northbrook, IL",42.128704,-87.8265089
"Itasca, IL",41.9751722,-88.0067509
"Evanston, IL",42.0447388,-87.6930459
"Bridgeview, IL",41.7500323,-87.8042216
"Oak Brook, IL",41.8328085,-87.9289504
"Maywood, IL",41.8789942,-87.8436412
"Northfield, IL",42.09975,-87.7808967
"Glenview, IL",42.0700662,-87.8114044
"Elk Grove Village, IL",42.0041236,-87.9706457
"Arlington Heights, IL",42.0811563,-87.9802164
"Houston, TX",29.7589382,-95.3676974
"Stafford, TX",29.6160671,-95.5577221
"Pearland, TX",29.5639758,-95.2864299
"Pasadena, TX",29.6910625,-95.2091006
"Spring, TX",30.0798826,-95.4172549
"Sugar Land, TX",29.6196787,-95.6349463
"Tempe, AZ",33.4255056,-111.9400091
"Phoenix, AZ",33.4484367,-112.0741417
"Scottsdale, AZ",33.4942189,-111.9260184
"Glendale, AZ",33.5386858,-112.1859941
"Chandler, AZ",33.3061605,-111.84125
"Mesa, AZ",33.4151117,-111.8314792
"DC Ranch, AZ",33.6694282,-111.866546
"King of Prussia, PA",40.09476245,-75.3851333563417
"Plymouth Meeting, PA",40.102332,-75.2743467
"Blue Bell, PA",40.152331,-75.266289
"Fort Washington, PA",40.14785315,-75.18972428892617
"Philadelphia, PA",39.9527237,-75.1635262
"Wilmington, DE",39.7459468,-75.546589
"Malvern, PA",31.1393439,-85.5191005
"Camden, NJ",39.9448402,-75.1198911
"Feasterville Trevose, PA",40.1513276,-74.988733542723
