ID,Title,Salary,Rating,Company,Location,Headquarters,Size,ownership,Industry,Sector,Revenue,min,max
0,"Data Analyst, Center on Immigration and Justice (CIJ)",$37K-$66K (Glassdoor est.),3.2,Vera Institute of Justice,"New York, NY","New York, NY",201 to 500 employees,Nonprofit Organization,Social Assistance,Non-Profit,$100 to $500 million (USD),37000.0,66000
1,Quality Data Analyst,$37K-$66K (Glassdoor est.),3.8,Visiting Nurse Service of New York,"New York, NY","New York, NY",10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),37000.0,66000
2,"Senior Data Analyst, Insights & Analytics Team [Customer Operations]",$37K-$66K (Glassdoor est.),3.4,Squarespace,"New York, NY","New York, NY",1001 to 5000 employees,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,37000.0,66000
3,Data Analyst,$37K-$66K (Glassdoor est.),4.1,Celerity,"New York, NY","McLean, VA",201 to 500 employees,Subsidiary or Business Segment,IT Services,Information Technology,$50 to $100 million (USD),37000.0,66000
4,Reporting Data Analyst,$37K-$66K (Glassdoor est.),3.9,FanDuel,"New York, NY","New York, NY",501 to 1000 employees,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",$100 to $500 million (USD),37000.0,66000
5,Data Analyst,$37K-$66K (Glassdoor est.),3.9,Point72,"New York, NY","Stamford, CT",1001 to 5000 employees,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,37000.0,66000
6,Business/Data Analyst (FP&A),$37K-$66K (Glassdoor est.),4.4,Two Sigma,"New York, NY","New York, NY",1001 to 5000 employees,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,37000.0,66000
7,Data Science Analyst,$37K-$66K (Glassdoor est.),3.7,GNY Insurance Companies,"New York, NY","New York, NY",201 to 500 employees,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),37000.0,66000
8,Data Analyst,$37K-$66K (Glassdoor est.),4.0,DMGT,"New York, NY","London, United Kingdom",5001 to 10000 employees,Company - Public,Venture Capital & Private Equity,Finance,$1 to $2 billion (USD),37000.0,66000
9,"Data Analyst, Merchant Health",$37K-$66K (Glassdoor est.),4.4,Riskified,"New York, NY","New York, NY",501 to 1000 employees,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,37000.0,66000
10,Data Analyst,$37K-$66K (Glassdoor est.),4.0,NYU Langone Health,"New York, NY","New York, NY",10000+ employees,Hospital,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD),37000.0,66000
12,DATA ANALYST,$37K-$66K (Glassdoor est.),3.7,Montefiore Medical,"New York, NY","Bronx, NY",10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),37000.0,66000
13,Senior Data Analyst,$37K-$66K (Glassdoor est.),3.0,Known,"New York, NY","New York, NY",201 to 500 employees,Company - Private,Advertising & Marketing,Business Services,$100 to $500 million (USD),37000.0,66000
14,Investment Advisory Data Analyst,$37K-$66K (Glassdoor est.),3.4,Advisor Group,"Jersey City, NJ","Phoenix, AZ",1001 to 5000 employees,Company - Private,Brokerage Services,Finance,$1 to $5 million (USD),37000.0,66000
15,Sustainability Data Analyst,$37K-$66K (Glassdoor est.),3.6,CodeGreen Solutions,"New York, NY","New York, NY",1 to 50 employees,Company - Private,Building & Personnel Services,Business Services,Unknown / Non-Applicable,37000.0,66000
16,Data Analyst,$37K-$66K (Glassdoor est.),3.8,Undertone,"New York, NY","New York, NY",201 to 500 employees,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable,37000.0,66000
